id,type,gender,skin tone,count,accessories,accessories,accessories,accessories,accessories,accessories,accessories
102,Urban,Masculine,Balanced,2,Vampire Hair,Luxurious Beard,,,,,
103,Urban,Feminine,Light,3,Black Lipstick,Green Eye Shadow,Blonde Bob,,,,
104,Urban,Masculine,Light,4,Normal Beard Black,Earring,Crazy Hair,Eye Patch,,,
105,Urban,Masculine,Dark,1,Mohawk Thin,,,,,,
106,Urban,Feminine,Dark,1,Straight Hair Blonde,,,,,,
107,Urban,Masculine,Balanced,1,Headband,,,,,,
108,Urban,Feminine,Dark,2,Black Lipstick,Headband,,,,,
109,Urban,Masculine,Light,3,Handlebars,Fedora,Earring,,,,
110,Urban,Feminine,Light,4,Purple Lipstick,Earring,Mohawk Dark,Cigarette,,,
111,Urban,Masculine,Light,2,Handlebars,Knitted Cap,,,,,
112,Urban,Masculine,Balanced,4,Bandana,Earring,Horned Rim Glasses,Big Beard,,,
113,Urban,Masculine,Pale,1,Mohawk,,,,,,
114,Urban,Feminine,Light,1,Red Mohawk,,,,,,
115,Urban,Feminine,Light,2,Half Shaved,Earring,,,,,
116,Urban,Feminine,Light,4,Black Lipstick,Tiara,Earring,Clown Eyes Blue,,,
117,Undead,Masculine,,2,Messy Hair,Front Beard Dark,,,,,
118,Urban,Feminine,Dark,2,Black Lipstick,Bandana,,,,,
119,Urban,Masculine,Balanced,2,Cap,Earring,,,,,
120,Urban,Feminine,Balanced,2,Tassle Hat,Big Shades,,,,,
121,Urban,Feminine,Dark,2,Tiara,Purple Lipstick,,,,,
122,Urban,Masculine,Dark,2,Cigarette,Mohawk,,,,,
123,Urban,Feminine,Balanced,2,Wild White Hair,Spots,,,,,
124,Urban,Masculine,Balanced,3,Normal Beard Black,Peak Spike,Earring,,,,
125,Urban,Feminine,Dark,3,Tassle Hat,Big Shades,Purple Lipstick,,,,
126,Urban,Masculine,Pale,4,Cigarette,Earring,Headband,Eye Patch,,,
127,Urban,Feminine,Balanced,2,Clown Eyes Green,Stringy Hair,,,,,
128,Urban,Masculine,Dark,4,Police Cap,Chinstrap,Vape,Mole,,,
129,Urban,Masculine,Dark,4,Cigarette,Cap Forward,Gold Chain,Horned Rim Glasses,,,
130,Urban,Masculine,Dark,1,Mohawk,,,,,,
131,Urban,Feminine,Balanced,2,Hot Lipstick,Straight Hair Dark,,,,,
132,Urban,Masculine,Light,1,Mohawk Thin,,,,,,
133,Urban,Masculine,Pale,3,Chinstrap,Purple Hair,Pipe,,,,
134,Urban,Masculine,Balanced,1,Police Cap,,,,,,
135,Urban,Masculine,Dark,1,Cap Forward,,,,,,
136,Urban,Masculine,Light,3,Shadow Beard,Shaved Head,Clown Eyes Green,,,,
137,Urban,Masculine,Light,1,Messy Hair,,,,,,
138,Urban,Masculine,Dark,2,Stringy Hair,Horned Rim Glasses,,,,,
139,Urban,Masculine,Balanced,2,Do-rag,Eye Patch,,,,,
140,Urban,Feminine,Light,1,Hot Lipstick,,,,,,
141,Urban,Masculine,Light,3,Chinstrap,Headband,3D Glasses,,,,
142,Urban,Masculine,Dark,2,Mohawk,Regular Shades,,,,,
143,Urban,Masculine,Dark,2,Beanie,Horned Rim Glasses,,,,,
144,Urban,Masculine,Light,3,Cigarette,Frumpy Hair,Luxurious Beard,,,,
145,Urban,Masculine,Dark,1,Wild Hair,,,,,,
146,Urban,Masculine,Dark,2,Earring,Mohawk,,,,,
147,Urban,Masculine,Pale,2,Mohawk Thin,Regular Shades,,,,,
148,Urban,Masculine,Balanced,1,Hoodie,,,,,,
149,Urban,Masculine,Dark,3,Messy Hair,Luxurious Beard,Big Shades,,,,
150,Urban,Feminine,Balanced,2,Purple Lipstick,Earring,,,,,
151,Urban,Masculine,Balanced,2,Stringy Hair,VR,,,,,
152,Urban,Masculine,Dark,2,Clown Eyes Green,Mohawk Dark,,,,,
153,Urban,Masculine,Balanced,3,Eye Mask,Cap,Earring,,,,
154,Urban,Masculine,Light,3,Hoodie,Shadow Beard,Earring,,,,
155,Urban,Masculine,Light,2,Clown Nose,Clown Hair Green,,,,,
156,Urban,Masculine,Light,2,Cap Forward,Small Shades,,,,,
157,Urban,Masculine,Balanced,2,Cigarette,Cap,,,,,
158,Urban,Masculine,Dark,3,Wild Hair,Goat,Regular Shades,,,,
159,Urban,Masculine,Dark,2,Stringy Hair,Earring,,,,,
160,Urban,Feminine,Balanced,3,Pigtails,Purple Lipstick,Clown Eyes Blue,,,,
161,Urban,Feminine,Light,2,Hot Lipstick,Frumpy Hair,,,,,
162,Urban,Masculine,Balanced,3,Frumpy Hair,Normal Beard Black,Horned Rim Glasses,,,,
163,Urban,Masculine,Light,2,Shaved Head,Eye Patch,,,,,
164,Urban,Feminine,Balanced,2,Stringy Hair,VR,,,,,
165,Urban,Masculine,Balanced,3,Cigarette,Front Beard Dark,Mohawk Dark,,,,
166,Urban,Masculine,Light,2,Shaved Head,Regular Shades,,,,,
167,Urban,Feminine,Balanced,2,Headband,Hot Lipstick,,,,,
168,Urban,Feminine,Dark,3,Blue Eye Shadow,Silver Chain,Blonde Bob,,,,
169,Urban,Feminine,Balanced,3,Wild White Hair,Hot Lipstick,Regular Shades,,,,
170,Urban,Masculine,Dark,3,Peak Spike,Classic Shades,Mole,,,,
171,Urban,Masculine,Balanced,3,Stringy Hair,Earring,Mole,,,,
172,Urban,Feminine,Balanced,3,Purple Lipstick,Blonde Bob,3D Glasses,,,,
173,Urban,Feminine,Light,5,Mole,Pipe,Messy Hair,Hot Lipstick,Clown Eyes Blue,,
174,Urban,Masculine,Light,3,Wild Hair,Earring,Horned Rim Glasses,,,,
175,Urban,Masculine,Balanced,2,Cap,Big Shades,,,,,
176,Urban,Feminine,Light,4,Regular Shades,Wild Hair,Purple Lipstick,Earring,,,
177,Urban,Masculine,Light,2,Bandana,Luxurious Beard,,,,,
178,Urban,Masculine,Balanced,1,Fedora,,,,,,
179,Urban,Masculine,Pale,3,Mohawk Thin,Shadow Beard,Classic Shades,,,,
180,Urban,Feminine,Light,2,Pilot Helmet,Hot Lipstick,,,,,
181,Urban,Masculine,Light,1,Mohawk,,,,,,
182,Urban,Masculine,Pale,1,Peak Spike,,,,,,
183,Urban,Masculine,Dark,1,Shadow Beard,,,,,,
184,Urban,Feminine,Light,2,Green Eye Shadow,Blonde Bob,,,,,
185,Urban,Feminine,Dark,2,Wild White Hair,Hot Lipstick,,,,,
186,Urban,Masculine,Light,2,Mustache,Crazy Hair,,,,,
187,Urban,Feminine,Dark,1,Straight Hair,,,,,,
188,Urban,Masculine,Light,3,Peak Spike,Earring,Nerd Glasses,,,,
189,Urban,Feminine,Dark,2,Mohawk Thin,Purple Lipstick,,,,,
190,Urban,Masculine,Light,1,Headband,,,,,,
191,Urban,Feminine,Light,1,Mohawk,,,,,,
192,Urban,Masculine,Balanced,4,Clown Nose,Mohawk Thin,Earring,Nerd Glasses,,,
193,Urban,Feminine,Dark,3,Tassle Hat,Green Eye Shadow,Earring,,,,
194,Urban,Masculine,Dark,2,Wild Hair,Clown Eyes Green,,,,,
195,Urban,Feminine,Dark,2,Straight Hair Blonde,Nerd Glasses,,,,,
196,Urban,Feminine,Dark,3,Tassle Hat,Big Shades,Hot Lipstick,,,,
197,Urban,Masculine,Light,2,Frumpy Hair,Eye Patch,,,,,
198,Urban,Masculine,Balanced,2,Beanie,Luxurious Beard,,,,,
199,Urban,Feminine,Dark,2,Blonde Short,Classic Shades,,,,,
200,Urban,Feminine,Light,1,Wild Hair,,,,,,
201,Urban,Feminine,Balanced,4,Blue Eye Shadow,Hot Lipstick,Dark Hair,Cigarette,,,
202,Urban,Feminine,Dark,3,Headband,Purple Lipstick,Earring,,,,
203,Urban,Masculine,Dark,3,Front Beard,Messy Hair,Regular Shades,,,,
204,Urban,Masculine,Balanced,2,Crazy Hair,Regular Shades,,,,,
205,Urban,Masculine,Balanced,3,Normal Beard Black,Big Shades,Mohawk Dark,,,,
206,Urban,Masculine,Dark,3,Cigarette,Clown Nose,Cap Forward,,,,
207,Urban,Masculine,Dark,3,Peak Spike,Pipe,Eye Patch,,,,
208,Urban,Masculine,Balanced,3,Earring,Shaved Head,3D Glasses,,,,
209,Urban,Feminine,Light,2,Hot Lipstick,Stringy Hair,,,,,
210,Urban,Feminine,Balanced,2,Earring,Straight Hair Dark,,,,,
211,Urban,Masculine,Light,2,Mohawk Thin,Goat,,,,,
212,Urban,Feminine,Light,2,Crazy Hair,Hot Lipstick,,,,,
213,Urban,Feminine,Balanced,1,Crazy Hair,,,,,,
214,Urban,Masculine,Light,2,Front Beard Dark,Mohawk,,,,,
215,Urban,Feminine,Balanced,1,Mohawk,,,,,,
216,Urban,Masculine,Balanced,1,Bandana,,,,,,
217,Urban,Masculine,Balanced,3,Chinstrap,Earring,Mohawk Dark,,,,
218,Urban,Masculine,Dark,4,Cap,Handlebars,Regular Shades,Mole,,,
219,Urban,Feminine,Light,4,Bandana,Rosy Cheeks,Earring,Clown Eyes Blue,,,
220,Urban,Masculine,Pale,2,Big Shades,Headband,,,,,
221,Urban,Masculine,Light,4,Stringy Hair,Cigarette,Muttonchops,Classic Shades,,,
222,Urban,Masculine,Dark,3,Pipe,Do-rag,Small Shades,,,,
223,Urban,Masculine,Dark,3,Nerd Glasses,Normal Beard,Crazy Hair,,,,
224,Urban,Masculine,Dark,4,Cigarette,Earring,Nerd Glasses,Headband,,,
225,Urban,Feminine,Balanced,3,Orange Side,Hot Lipstick,Earring,,,,
226,Urban,Feminine,Balanced,1,Hot Lipstick,,,,,,
227,Urban,Feminine,Balanced,1,Wild White Hair,,,,,,
228,Urban,Masculine,Balanced,2,Peak Spike,Small Shades,,,,,
229,Urban,Masculine,Dark,2,Cigarette,Messy Hair,,,,,
230,Urban,Masculine,Light,2,Luxurious Beard,Knitted Cap,,,,,
231,Urban,Feminine,Balanced,3,Pipe,Stringy Hair,Earring,,,,
232,Urban,Feminine,Light,2,Blue Eye Shadow,Wild Hair,,,,,
233,Urban,Feminine,Pale,2,Bandana,Hot Lipstick,,,,,
234,Urban,Masculine,Dark,2,Nerd Glasses,Knitted Cap,,,,,
235,Urban,Masculine,Dark,2,Cigarette,Frumpy Hair,,,,,
236,Urban,Masculine,Dark,2,Vampire Hair,Muttonchops,,,,,
237,Urban,Masculine,Light,2,Mohawk,Regular Shades,,,,,
238,Urban,Feminine,Balanced,2,Clown Eyes Green,Straight Hair Dark,,,,,
239,Urban,Masculine,Light,3,Frown,Goat,Mohawk,,,,
240,Urban,Feminine,Balanced,2,Big Shades,Straight Hair Blonde,,,,,
241,Urban,Feminine,Dark,1,Wild Blonde,,,,,,
242,Urban,Feminine,Light,2,Black Lipstick,Stringy Hair,,,,,
243,Urban,Masculine,Dark,4,Cigarette,Front Beard,Police Cap,Earring,,,
244,Urban,Feminine,Dark,3,Regular Shades,Wild Hair,Purple Lipstick,,,,
245,Urban,Feminine,Light,1,Dark Hair,,,,,,
246,Urban,Masculine,Pale,3,Bandana,Luxurious Beard,Earring,,,,
247,Urban,Feminine,Light,2,Green Eye Shadow,Mohawk Dark,,,,,
248,Urban,Feminine,Light,2,Messy Hair,Purple Eye Shadow,,,,,
249,Urban,Feminine,Dark,1,Orange Side,,,,,,
250,Urban,Feminine,Balanced,3,Clown Eyes Green,Frumpy Hair,Earring,,,,
251,Urban,Feminine,Dark,2,Green Eye Shadow,Mohawk Dark,,,,,
252,Urban,Masculine,Pale,2,Cap Forward,Mole,,,,,
253,Urban,Feminine,Light,2,Clown Eyes Green,Blonde Short,,,,,
254,Urban,Masculine,Dark,1,Fedora,,,,,,
255,Urban,Masculine,Dark,2,Mustache,Shaved Head,,,,,
256,Urban,Masculine,Light,4,Fedora,Vape,Earring,Eye Patch,,,
257,Urban,Masculine,Dark,2,Cap,Frown,,,,,
258,Urban,Masculine,Balanced,2,Cap Forward,Handlebars,,,,,
259,Urban,Masculine,Dark,3,Eye Mask,Cap Forward,Earring,,,,
260,Urban,Masculine,Light,2,Purple Hair,3D Glasses,,,,,
261,Urban,Feminine,Light,2,Wild White Hair,Black Lipstick,,,,,
262,Urban,Feminine,Light,2,Blonde Short,Regular Shades,,,,,
263,Urban,Masculine,Pale,2,Messy Hair,Muttonchops,,,,,
264,Urban,Feminine,Pale,2,Wild White Hair,Earring,,,,,
265,Urban,Masculine,Light,3,Cap Forward,Gold Chain,Earring,,,,
266,Urban,Masculine,Light,3,Earring,Do-rag,Small Shades,,,,
267,Urban,Masculine,Light,2,Clown Nose,Fedora,,,,,
268,Urban,Feminine,Dark,1,Knitted Cap,,,,,,
269,Urban,Masculine,Light,4,Luxurious Beard,Hoodie,Earring,Small Shades,,,
270,Urban,Feminine,Balanced,2,Red Mohawk,Clown Eyes Blue,,,,,
271,Urban,Masculine,Balanced,1,Stringy Hair,,,,,,
272,Urban,Masculine,Balanced,2,Messy Hair,Buck Teeth,,,,,
273,Urban,Masculine,Dark,2,Cap Forward,Big Shades,,,,,
274,Urban,Masculine,Dark,4,Cap,Handlebars,Earring,Regular Shades,,,
275,Urban,Feminine,Balanced,3,Purple Eye Shadow,Stringy Hair,Purple Lipstick,,,,
276,Urban,Feminine,Dark,1,Crazy Hair,,,,,,
277,Urban,Feminine,Dark,1,Red Mohawk,,,,,,
278,Urban,Feminine,Pale,2,Black Lipstick,Straight Hair Dark,,,,,
279,Urban,Feminine,Balanced,3,Blue Eye Shadow,Straight Hair Blonde,Purple Lipstick,,,,
280,Urban,Masculine,Pale,1,Earring,,,,,,
281,Urban,Masculine,Dark,0,,,,,,,
282,Urban,Feminine,Pale,2,Classic Shades,Straight Hair Dark,,,,,
283,Urban,Feminine,Dark,2,Hot Lipstick,Frumpy Hair,,,,,
284,Urban,Masculine,Pale,1,Mohawk Thin,,,,,,
285,Urban,Feminine,Dark,2,Dark Hair,Purple Lipstick,,,,,
286,Urban,Masculine,Pale,2,Wild Hair,Goat,,,,,
287,Urban,Feminine,Pale,3,Mohawk,Purple Eye Shadow,Cigarette,,,,
288,Urban,Masculine,Pale,1,Shaved Head,,,,,,
289,Urban,Feminine,Balanced,2,Mohawk Thin,Eye Patch,,,,,
290,Urban,Feminine,Balanced,1,Wild Blonde,,,,,,
291,Urban,Masculine,Balanced,2,Mohawk Thin,Earring,,,,,
292,Urban,Feminine,Dark,2,Tassle Hat,Black Lipstick,,,,,
293,Urban,Masculine,Dark,2,Handlebars,Mohawk Dark,,,,,
294,Urban,Masculine,Light,3,Hoodie,Big Shades,Earring,,,,
295,Urban,Masculine,Balanced,2,Frown,Shaved Head,,,,,
296,Urban,Masculine,Balanced,1,Mohawk Thin,,,,,,
297,Urban,Masculine,Balanced,2,Muttonchops,Crazy Hair,,,,,
298,Urban,Feminine,Dark,1,Half Shaved,,,,,,
299,Urban,Masculine,Light,2,Muttonchops,Do-rag,,,,,
300,Urban,Masculine,Dark,2,Goat,Headband,,,,,
301,Urban,Feminine,Pale,3,Red Mohawk,Green Eye Shadow,Hot Lipstick,,,,
302,Urban,Feminine,Balanced,3,Blue Eye Shadow,Bandana,Purple Lipstick,,,,
303,Urban,Feminine,Light,2,Red Mohawk,Purple Lipstick,,,,,
304,Urban,Masculine,Balanced,2,Peak Spike,Shadow Beard,,,,,
305,Urban,Feminine,Pale,3,VR,Purple Lipstick,Blonde Bob,,,,
306,Urban,Feminine,Dark,2,Vape,Wild Hair,,,,,
307,Urban,Masculine,Balanced,2,Frumpy Hair,Chinstrap,,,,,
308,Urban,Masculine,Dark,3,Messy Hair,Horned Rim Glasses,Mole,,,,
309,Urban,Masculine,Balanced,2,Big Shades,Shaved Head,,,,,
310,Urban,Masculine,Light,4,Bandana,Vape,Classic Shades,Earring,,,
311,Urban,Masculine,Dark,2,Front Beard,Frumpy Hair,,,,,
312,Urban,Masculine,Dark,2,Cap Forward,Chinstrap,,,,,
313,Urban,Feminine,Dark,2,Purple Lipstick,Mohawk Dark,,,,,
314,Urban,Masculine,Pale,2,Eye Mask,Police Cap,,,,,
315,Urban,Feminine,Balanced,3,Wild White Hair,Black Lipstick,Cigarette,,,,
316,Urban,Feminine,Light,1,Bandana,,,,,,
317,Urban,Masculine,Balanced,3,Bandana,Frown,Chinstrap,,,,
318,Urban,Feminine,Pale,3,Bandana,Hot Lipstick,Cigarette,,,,
319,Urban,Feminine,Dark,2,Earring,Straight Hair Dark,,,,,
320,Urban,Masculine,Light,1,Stringy Hair,,,,,,
321,Urban,Masculine,Balanced,1,Peak Spike,,,,,,
322,Urban,Feminine,Balanced,3,Black Lipstick,Pink With Hat,Clown Eyes Green,,,,
323,Urban,Masculine,Light,1,Mohawk Dark,,,,,,
324,Urban,Feminine,Pale,3,Hot Lipstick,Earring,Blonde Bob,,,,
325,Urban,Masculine,Light,3,Police Cap,Mustache,Small Shades,,,,
326,Urban,Feminine,Light,3,Wild White Hair,Hot Lipstick,Earring,,,,
327,Urban,Masculine,Pale,1,Crazy Hair,,,,,,
328,Urban,Masculine,Dark,2,Bandana,Horned Rim Glasses,,,,,
329,Urban,Feminine,Balanced,2,Bandana,Eye Patch,,,,,
330,Urban,Masculine,Balanced,2,Knitted Cap,Clown Eyes Green,,,,,
331,Urban,Feminine,Pale,3,Tassle Hat,Purple Lipstick,Earring,,,,
332,Urban,Masculine,Light,2,Stringy Hair,Horned Rim Glasses,,,,,
333,Urban,Feminine,Dark,3,Purple Eye Shadow,Straight Hair Blonde,Purple Lipstick,,,,
334,Urban,Masculine,Light,2,Wild Hair,Big Beard,,,,,
335,Urban,Masculine,Balanced,1,Clown Hair Green,,,,,,
336,Urban,Masculine,Balanced,3,Nerd Glasses,Normal Beard,Top Hat,,,,
337,Urban,Masculine,Balanced,1,Frumpy Hair,,,,,,
338,Urban,Masculine,Dark,2,Messy Hair,Small Shades,,,,,
339,Urban,Feminine,Pale,5,Mole,Cap,Big Shades,Black Lipstick,Earring,,
340,Urban,Masculine,Balanced,4,Muttonchops,Headband,Medical Mask,3D Glasses,,,
341,Urban,Feminine,Dark,2,Messy Hair,Earring,,,,,
342,Urban,Feminine,Dark,2,Bandana,Regular Shades,,,,,
343,Urban,Masculine,Dark,2,Police Cap,Shadow Beard,,,,,
344,Urban,Masculine,Light,1,Beanie,,,,,,
345,Urban,Feminine,Balanced,2,Tassle Hat,Earring,,,,,
346,Urban,Masculine,Balanced,1,Purple Hair,,,,,,
347,Urban,Masculine,Balanced,2,Horned Rim Glasses,Knitted Cap,,,,,
348,Urban,Feminine,Dark,3,Messy Hair,Rosy Cheeks,Nerd Glasses,,,,
349,Urban,Masculine,Light,3,Front Beard Dark,Earring,Mohawk Dark,,,,
350,Urban,Feminine,Balanced,1,Stringy Hair,,,,,,
351,Urban,Masculine,Dark,3,Purple Hair,Goat,Mole,,,,
352,Urban,Feminine,Balanced,2,Green Eye Shadow,Straight Hair,,,,,
353,Urban,Feminine,Dark,2,Bandana,Green Eye Shadow,,,,,
354,Urban,Masculine,Pale,2,Cigarette,Police Cap,,,,,
355,Urban,Feminine,Pale,4,Wild White Hair,Black Lipstick,Gold Chain,Green Eye Shadow,,,
356,Urban,Masculine,Dark,1,Stringy Hair,,,,,,
357,Urban,Feminine,Light,2,Tassle Hat,Earring,,,,,
358,Urban,Masculine,Dark,3,Luxurious Beard,Mohawk,Small Shades,,,,
359,Urban,Feminine,Pale,2,Messy Hair,Hot Lipstick,,,,,
360,Urban,Masculine,Balanced,2,Bandana,Normal Beard Black,,,,,
361,Urban,Masculine,Balanced,1,Mohawk Dark,,,,,,
362,Urban,Masculine,Balanced,3,Eye Mask,Peak Spike,Shadow Beard,,,,
363,Urban,Masculine,Pale,3,Shadow Beard,Nerd Glasses,Cowboy Hat,,,,
364,Urban,Masculine,Pale,2,Normal Beard Black,Hoodie,,,,,
365,Urban,Masculine,Dark,2,Normal Beard,Do-rag,,,,,
366,Urban,Masculine,Balanced,3,Eye Mask,Earring,Mohawk,,,,
367,Urban,Masculine,Light,1,Clown Hair Green,,,,,,
368,Urban,Feminine,Balanced,2,Frumpy Hair,Purple Lipstick,,,,,
369,Urban,Masculine,Dark,3,Luxurious Beard,Fedora,Earring,,,,
370,Urban,Masculine,Light,4,Cigarette,Peak Spike,Rosy Cheeks,Small Shades,,,
